,date,open price,high price,low price,close price,AVG price,adjusted close price,volume,value fluctuation,rate fluctuation
1888,2015-05-21,16.1,16.1,15.3,15.9,15.69,6.95,454800,-0.4,-2.45
1889,2015-05-20,15.7,16.3,15.7,16.3,16.03,7.12,469600,0.6,3.82
1890,2015-05-19,15.4,15.9,15.0,15.7,15.41,6.86,307800,0.3,1.95
1891,2015-05-18,14.9,15.8,14.8,15.4,15.42,6.73,276700,0.4,2.67
1892,2015-05-15,14.3,15.3,14.3,15.0,14.88,6.55,325600,0.8,5.63
1893,2015-05-14,14.3,14.4,13.7,14.2,14.04,6.2,198300,-0.2,-1.39
1894,2015-05-13,14.3,14.4,14.1,14.4,14.2,6.29,261300,0.1,0.7
1895,2015-05-12,14.3,14.5,14.1,14.3,14.27,6.25,256600,0.0,0.0
1896,2015-05-11,14.4,14.4,14.1,14.3,14.18,6.25,203700,-0.2,-1.38
1897,2015-05-08,14.0,14.6,14.0,14.5,14.32,6.33,243000,0.6,4.32
1898,2015-05-07,13.7,14.2,13.5,13.9,13.83,6.07,141000,0.1,0.72
1899,2015-05-06,14.0,14.3,13.8,13.8,14.06,6.03,190500,-0.2,-1.43
1900,2015-05-05,14.1,14.1,13.8,14.0,13.94,6.12,123500,-0.1,-0.71
1901,2015-05-04,14.4,14.5,14.1,14.1,14.27,6.16,136800,-0.3,-2.08
1902,2015-04-27,14.4,14.5,14.4,14.4,14.42,6.29,112000,0.0,0.0
1903,2015-04-24,14.5,14.6,14.4,14.4,14.43,6.29,153500,-0.1,-0.69
1904,2015-04-23,14.5,14.7,14.3,14.5,14.49,6.33,219500,0.1,0.69
1905,2015-04-22,14.5,14.6,14.3,14.4,14.41,6.29,167200,-0.1,-0.69
1906,2015-04-21,14.5,14.6,14.4,14.5,14.45,6.33,218700,0.1,0.69
1907,2015-04-20,14.5,14.6,14.2,14.4,14.38,6.29,167300,-0.1,-0.69
1908,2015-04-17,14.6,14.7,14.4,14.5,14.56,6.33,207200,-0.1,-0.68
1909,2015-04-16,14.4,14.7,14.4,14.6,14.58,6.38,260300,0.2,1.39
1910,2015-04-15,14.4,14.4,14.2,14.4,14.3,6.29,203800,0.0,0.0
